Sample_ID,Sample_name,burn,rep,tsf,timesburned,temp,incday,co2
B20024,Burned 2002,Burned,1,20,1,14,15,0.305562799
B20024,Burned 2002,Burned,2,20,1,14,15,0.306612929
B20024,Burned 2002,Burned,3,20,1,14,15,0.366292219
B20194,Burned 2019 2X,Burned,1,3,2,14,15,0.420265144
B20194,Burned 2019 2X,Burned,2,3,2,14,15,0.424762703
B20194,Burned 2019 2X,Burned,3,3,2,14,15,0.360846277
B3X4,Burned 2019 3X ,Burned,1,3,3,14,15,0.150911662
B3X4,Burned 2019 3X ,Burned,2,3,3,14,15,0.174586166
B3X4,Burned 2019 3X ,Burned,3,3,3,14,15,0.48829501
B4X4,Burned 4X ,Burned,1,7,4,14,15,0.246735356
B4X4,Burned 4X ,Burned,2,7,4,14,15,0.295490101
B4X4,Burned 4X ,Burned,3,7,4,14,15,0.134504944
UP4,Unburned_mile80,Unburned,1,0,0,4,30,0.19139052
UP4,Unburned_mile80,Unburned,2,0,0,4,30,0.191272556
UP4,Unburned_mile80,Unburned,3,0,0,4,30,0.260140534
B714,Burned 71,Burned,1,51,1,4,30,0.193895261
B714,Burned 71,Burned,2,51,1,4,30,0.063194423
B714,Burned 71,Burned,3,51,1,4,30,0.227361069
B20024,Burned 2002,Burned,1,20,1,4,30,0.125351335
B20024,Burned 2002,Burned,2,20,1,4,30,0.096740056
B20024,Burned 2002,Burned,3,20,1,4,30,0.151107179
B20194,Burned 2019 2X,Burned,1,3,2,4,30,0.121660054
B20194,Burned 2019 2X,Burned,2,3,2,4,30,0.194277096
B20194,Burned 2019 2X,Burned,3,3,2,4,30,0.173700832
B3X4,Burned 2019 3X ,Burned,1,3,3,4,30,0.026487347
B3X4,Burned 2019 3X ,Burned,2,3,3,4,30,0.052722346
B3X4,Burned 2019 3X ,Burned,3,3,3,4,30,0.169155059
B4X4,Burned 4X ,Burned,1,7,4,4,30,0.102290574
B4X4,Burned 4X ,Burned,2,7,4,4,30,0.081385909
B4X4,Burned 4X ,Burned,3,7,4,4,30,0.045904763
UP4,Unburned_mile80,Unburned,1,0,0,14,30,0.41971164
UP4,Unburned_mile80,Unburned,2,0,0,14,30,0.502924801
UP4,Unburned_mile80,Unburned,3,0,0,14,30,0.43191533
B714,Burned 71,Burned,1,51,1,14,30,0.442806297
B714,Burned 71,Burned,2,51,1,14,30,0.08459948
B714,Burned 71,Burned,3,51,1,14,30,0.50629282
B20024,Burned 2002,Burned,1,20,1,14,30,0.242578883
B20024,Burned 2002,Burned,2,20,1,14,30,0.184601695
B20024,Burned 2002,Burned,3,20,1,14,30,0.297373503
B20194,Burned 2019 2X,Burned,1,3,2,14,30,0.294619149
B20194,Burned 2019 2X,Burned,2,3,2,14,30,0.382134384
B20194,Burned 2019 2X,Burned,3,3,2,14,30,0.289222368
B3X4,Burned 2019 3X ,Burned,1,3,3,14,30,0.010592264
B3X4,Burned 2019 3X ,Burned,2,3,3,14,30,0.008452878
B3X4,Burned 2019 3X ,Burned,3,3,3,14,30,0.405993711
B4X4,Burned 4X ,Burned,1,7,4,14,30,0.19854941
B4X4,Burned 4X ,Burned,2,7,4,14,30,0.330986876
B4X4,Burned 4X ,Burned,3,7,4,14,30,0.01782705
